id;nom;insee;adresse;emplacements;no_appel;info;statut;geo_shape;geopoint;geopoint_datagouv
75119-T-484;Tanger;75119;16T RUE DE TANGER;6;;;en service;"{""coordinates"": [2.3689646538300746, 48.886188600688236], ""type"": ""Point""}";48.886188600688236, 2.3689646538300746;2.3689646538300746, 48.886188600688236
75110-T-337;Alsace;75110;21 RUE D'ALSACE;5;;;en service;"{""coordinates"": [2.357864242070205, 48.87739249960617], ""type"": ""Point""}";48.87739249960617, 2.357864242070205;2.357864242070205, 48.87739249960617
75108-T-298;Champs Elysées / Bassano;75108;103 AVENUE DES CHAMPS ELYSEES;8;;;en service;"{""coordinates"": [2.300063551913162, 48.87181698138564], ""type"": ""Point""}";48.87181698138564, 2.300063551913162;2.300063551913162, 48.87181698138564
75109-T-307;Haussmann / Taitbout;75109;14 BOULEVARD HAUSSMANN;4;;;en service;"{""coordinates"": [2.3372200997150885, 48.872540342976826], ""type"": ""Point""}";48.872540342976826, 2.3372200997150885;2.3372200997150885, 48.872540342976826
75116-T-429;Poincaré / Lauriston;75116;40 AVENUE RAYMOND POINCARE;5;;;en service;"{""coordinates"": [2.2864425340334, 48.86602809804327], ""type"": ""Point""}";48.86602809804327, 2.2864425340334;2.2864425340334, 48.86602809804327
75108-T-280;Roosevelt / Théâtre du Rond Point;75108;43 AVENUE FRANKLIN D. ROOSEVELT;6;;;en service;"{""coordinates"": [2.309953980037344, 48.86822841945435], ""type"": ""Point""}";48.86822841945435, 2.309953980037344;2.309953980037344, 48.86822841945435
75111-T-348;Richard Lenoir / Amelot;75111;1 BOULEVARD RICHARD LENOIR;5;;;en service;"{""coordinates"": [2.3692108009535335, 48.85430347141947], ""type"": ""Point""}";48.85430347141947, 2.3692108009535335;2.3692108009535335, 48.85430347141947
75112-T-901;Gare de Lyon SNCF;75112;8 PLACE LOUIS ARMAND;103;;;en service;"{""coordinates"": [2.373436105827891, 48.8451106231118], ""type"": ""Point""}";48.8451106231118, 2.373436105827891;2.373436105827891, 48.8451106231118
75117-T-457;Rome / Legendre;75117;135 RUE DE ROME;2;;;en service;"{""coordinates"": [2.3166163174391654, 48.885707402091235], ""type"": ""Point""}";48.885707402091235, 2.3166163174391654;2.3166163174391654, 48.885707402091235
75117-T-458;Mac-Mahon / Troyon;75117;21 AVENUE MAC-MAHON;6;;;en service;"{""coordinates"": [2.2942424143831746, 48.8769281012419], ""type"": ""Point""}";48.8769281012419, 2.2942424143831746;2.2942424143831746, 48.8769281012419
75117-T-460;Pershing / Koenig;75117;22 BOULEVARD PERSHING;14;;;en service;"{""coordinates"": [2.28262950142426, 48.88006722507015], ""type"": ""Point""}";48.88006722507015, 2.28262950142426;2.28262950142426, 48.88006722507015
75119-T-482;Petit/Meaux;75119;121 RUE DE MEAUX;8;;;en service;"{""coordinates"": [2.3788347261473257, 48.884585912691115], ""type"": ""Point""}";48.884585912691115, 2.3788347261473257;2.3788347261473257, 48.884585912691115
75115-T-387;Quai de Grenelle / Novotel;75115;61 QUAI DE GRENELLE;8;;;en service;"{""coordinates"": [2.2829001567496987, 48.84992294166981], ""type"": ""Point""}";48.84992294166981, 2.2829001567496987;2.2829001567496987, 48.84992294166981
75101-T-211;Marengo;75101;1 RUE DE MARENGO;3;;;en service;"{""coordinates"": [2.339128927086149, 48.86184837657944], ""type"": ""Point""}";48.86184837657944, 2.339128927086149;2.339128927086149, 48.86184837657944
75102-T-214;Capucines/Louis le Grand;75102;1 BOULEVARD DES CAPUCINES;4;;;en service;"{""coordinates"": [2.3339630975787142, 48.87076285656672], ""type"": ""Point""}";48.87076285656672, 2.3339630975787142;2.3339630975787142, 48.87076285656672
75111-T-043;Saint Ambroise;75111;57 BOULEVARD VOLTAIRE;5;;;en service;"{""coordinates"": [2.373391871065638, 48.862002676608256], ""type"": ""Point""}";48.862002676608256, 2.373391871065638;2.373391871065638, 48.862002676608256
75117-T-082;Etoile - Wagram;75117;67 Boulevard Pereire;10;0143800199;;en service;"{""coordinates"": [2.305386274370729, 48.88717567894479], ""type"": ""Point""}";48.88717567894479, 2.305386274370729;2.305386274370729, 48.88717567894479
75115-T-070;Place Balard;75115;3 PLACE BALARD;3;;;en service;"{""coordinates"": [2.279066978305342, 48.83691440100358], ""type"": ""Point""}";48.83691440100358, 2.279066978305342;2.279066978305342, 48.83691440100358
