id,nom,insee,adresse,emplacements,statut,latitude,longitude
75119-T-484,Tanger,75119,16T RUE DE TANGER,6.0,en service,48.886188600688236,"2.3689646538300746"
75110-T-337,Alsace,75110,21 RUE D'ALSACE,5.0,en service,48.87739249960617,"2.357864242070205"
75108-T-298,Champs Elysées / Bassano,75108,103 AVENUE DES CHAMPS ELYSEES,8.0,en service,48.87181698138564,"2.300063551913162"
75109-T-307,Haussmann / Taitbout,75109,14 BOULEVARD HAUSSMANN,4.0,en service,48.872540342976826,"2.3372200997150885"
75116-T-429,Poincaré / Lauriston,75116,40 AVENUE RAYMOND POINCARE,5.0,en service,48.86602809804327,"2.2864425340334"
75108-T-280,Roosevelt / Théâtre du Rond Point,75108,43 AVENUE FRANKLIN D. ROOSEVELT,6.0,en service,48.86822841945435,"2.309953980037344"
75111-T-348,Richard Lenoir / Amelot,75111,1 BOULEVARD RICHARD LENOIR,5.0,en service,48.85430347141947,"2.3692108009535335"
75112-T-901,Gare de Lyon SNCF,75112,8 PLACE LOUIS ARMAND,103.0,en service,48.8451106231118,"2.373436105827891"
75117-T-457,Rome / Legendre,75117,135 RUE DE ROME,2.0,en service,48.885707402091235,"2.3166163174391654"
75117-T-458,Mac-Mahon / Troyon,75117,21 AVENUE MAC-MAHON,6.0,en service,48.8769281012419,"2.2942424143831746"
75117-T-460,Pershing / Koenig,75117,22 BOULEVARD PERSHING,14.0,en service,48.88006722507015,"2.28262950142426"
75119-T-482,Petit/Meaux,75119,121 RUE DE MEAUX,8.0,en service,48.884585912691115,"2.3788347261473257"
75115-T-387,Quai de Grenelle / Novotel,75115,61 QUAI DE GRENELLE,8.0,en service,48.84992294166981,"2.2829001567496987"
75101-T-211,Marengo,75101,1 RUE DE MARENGO,3.0,en service,48.86184837657944,"2.339128927086149"
75102-T-214,Capucines/Louis le Grand,75102,1 BOULEVARD DES CAPUCINES,4.0,en service,48.87076285656672,"2.3339630975787142"
75111-T-043,Saint Ambroise,75111,57 BOULEVARD VOLTAIRE,5.0,en service,48.862002676608256,"2.373391871065638"
75117-T-082,Etoile - Wagram,75117,67 Boulevard Pereire,10.0,en service,48.88717567894479,"2.305386274370729"
75115-T-070,Place Balard,75115,3 PLACE BALARD,3.0,en service,48.83691440100358,"2.279066978305342"
75111-T-038,Nation,75111,3 AVENUE DU TRÔNE,14.0,en service,48.84860852998622,"2.3978274533514643"
75117-T-090,Porte de Saint Ouen,75117,3 AVENUE DE LA PORTE DE SAINT OUEN,7.0,en service,48.89828666841568,"2.3287853028781047"
75109-T-320,Condorcet,75109,69 RUE CONDORCET,5.0,en service,48.88032485422117,"2.340669811693258"
75103-T-225,Saint-Martin-République,75103,1 BOULEVARD SAINT-MARTIN,7.0,en service,48.86793297232912,"2.3614072541382307"
75120-T-489,Bagnolet / Pyrénées,75120,96 RUE DE BAGNOLET,3.0,en service,48.85924282049246,"2.4024724660388745"
75119-T-104,Flandre - Stalingrad,75119,15 AVENUE DE FLANDRE,6.0,en service,48.885051311054795,"2.3693614710783595"
75104-T-119,Hotel de Ville,75104,4 RUE DE LOBAU,5.0,en service,48.85646337472804,"2.3537438183255324"
75101-T-203,Rivoli/Rouget de l'Isle,75101,238 RUE DE RIVOLI,3.0,en service,48.86576104595841,"2.3263368878036847"
75101-T-205,Rivoli/29 Juillet,75101,208 RUE DE RIVOLI,4.0,en service,48.86446055732531,"2.3303592437048017"
75115-T-406,Florian Delbarre / France TV,75115,28 RUE DU PROFESSEUR FLORIAN DELBARRE,4.0,en service,48.83934048164963,"2.271871132095047"
75116-T-409,Iéna / Place Amiral de Grasse,75116,33 AVENUE D'IENA,6.0,en service,48.86513546635059,"2.294064900396159"
75116-T-411,Kleber / Boissière,75116,61 AVENUE KLEBER,12.0,en service,48.86662774435086,"2.29013177815591"
75101-T-208,Place du Palais Royal,75101,1 PLACE DU PALAIS ROYAL,6.0,en service,48.862736666697366,"2.336346067792886"
75116-T-425,Georges Lafont,75116,104 AVENUE GEORGES LAFONT,1.0,en service,48.83724841631142,"2.25688848625146"
